City ,Date ,Cases ,Hospitalizations ,Deaths 
New York,10/1/2023,1166,67,2
New York,9/1/2023,1217,66,3
New York,8/1/2023,638,39,1
New York,7/1/2023,247,19,1
New York,6/1/2023,302,22,2
New York,5/1/2023,289,20,2
New York,4/1/2023,431,28,6
New York,3/1/2023,662,42,7
